//U = 2.989427, hyper_period = 2856
task_set1_exec [] = { 75, 38, 33, 9, 6, 1, 3, 17, 3, 4, 4, 163, 44, 35, 30, 16, 22, 12, 22, 113};
task_set1_period [] = { 476, 408, 357, 28, 119, 24, 24, 119, 42, 56, 68, 1428, 119, 238, 102, 238, 238, 204, 68, 0};

//U = 2.936718, hyper_period = 2856
task_set2_exec [] = { 132, 127, 5, 629, 118, 9, 22, 247, 3, 27, 65, 9, 1, 83, 25, 12, 3, 18, 62, 99};
task_set2_period [] = { 1428, 408, 68, 2856, 952, 51, 136, 952, 51, 408, 408, 168, 28, 357, 136, 68, 51, 168, 408, 0};

//U = 2.905348, hyper_period = 2856
task_set3_exec [] = { 6, 404, 4, 5, 70, 540, 16, 25, 4, 13, 12, 2, 4, 2, 33, 9, 6, 100, 4, 99};
task_set3_period [] = { 28, 2856, 24, 28, 408, 2856, 68, 476, 68, 102, 168, 21, 56, 24, 84, 119, 51, 952, 51, 0};

//U = 2.870358, hyper_period = 2856
task_set4_exec [] = { 769, 12, 169, 1, 40, 2, 4, 3, 3, 13, 9, 106, 22, 25, 3, 17, 60, 88, 192, 99};
task_set4_period [] = { 2856, 102, 1428, 21, 714, 34, 28, 21, 34, 136, 28, 357, 102, 408, 21, 204, 952, 408, 1428, 0};

//U = 2.993347, hyper_period = 2856
task_set5_exec [] = { 6, 821, 3, 24, 30, 188, 4, 15, 3, 125, 3, 2, 54, 2, 11, 11, 14, 45, 487, 99};
task_set5_period [] = { 56, 2856, 28, 102, 136, 2856, 51, 168, 24, 1428, 24, 28, 476, 56, 42, 168, 68, 238, 2856, 0};

//U = 2.898163, hyper_period = 2856
task_set6_exec [] = { 373, 4, 7, 1, 34, 46, 2, 27, 9, 2, 30, 2, 8, 6, 88, 70, 13, 7, 19, 99};
task_set6_period [] = { 2856, 28, 68, 28, 168, 168, 51, 476, 56, 28, 204, 28, 42, 42, 408, 408, 42, 119, 357, 0};

//U = 2.875373, hyper_period = 2856
task_set7_exec [] = { 43, 26, 160, 622, 13, 41, 21, 27, 8, 41, 19, 6, 7, 16, 13, 21, 2, 18, 152, 99};
task_set7_period [] = { 357, 476, 476, 2856, 119, 714, 102, 168, 136, 204, 357, 119, 51, 119, 51, 102, 21, 119, 2856, 0};

//U = 2.940758, hyper_period = 2856
task_set8_exec [] = { 8, 21, 7, 275, 1, 13, 16, 121, 6, 20, 40, 3, 37, 148, 121, 10, 1, 57, 194, 99};
task_set8_period [] = { 102, 357, 51, 952, 28, 136, 102, 1428, 28, 119, 204, 51, 119, 714, 952, 136, 28, 952, 1428, 0};

//U = 2.987168, hyper_period = 2856
task_set9_exec [] = { 7, 66, 9, 5, 149, 7, 9, 13, 296, 31, 487, 44, 65, 6, 33, 455, 401, 29, 2, 99};
task_set9_period [] = { 56, 952, 102, 24, 1428, 56, 168, 68, 1428, 476, 1428, 408, 714, 42, 238, 1428, 1428, 238, 28, 0};

//U = 2.871835, hyper_period = 2856
task_set10_exec [] = { 5, 17, 190, 6, 5, 6, 216, 43, 48, 34, 57, 19, 2, 8, 1, 4, 219, 10, 70, 99};
task_set10_period [] = { 28, 168, 952, 84, 68, 24, 714, 476, 408, 408, 714, 102, 24, 68, 34, 51, 1428, 42, 952, 0};

